"postcode","total_tax","num_individuals","mean_tax","year"
2000,1620297356,35372,45808,"2014"
2006,7205010,102,70638,"2014"
2007,221510928,4729,46841,"2014"
2008,277209001,5166,53661,"2014"
2009,818180410,9614,85104,"2014"
2010,1505763816,19583,76892,"2014"
2011,1240604198,14652,84672,"2014"
2015,497723242,6907,72061,"2014"
2016,526206094,7890,66693,"2014"
2017,651482406,10579,61583,"2014"
2018,439893469,8347,52701,"2014"
2019,346986765,5751,60336,"2014"
2020,442761207,8092,54716,"2014"
2021,1189317977,10663,111537,"2014"
2022,705278770,9017,78217,"2014"
2023,1102806897,7107,155172,"2014"
2024,817989962,7276,112424,"2014"
2025,672908603,5281,127421,"2014"
2026,1987567728,23516,84520,"2014"
2027,1214289097,6071,200015,"2014"
2028,443664466,3393,130759,"2014"
2029,698738012,6846,102066,"2014"
2030,1484961815,9642,154010,"2014"
2031,1895732766,22769,83260,"2014"
2032,479430348,8395,57110,"2014"
2033,486082370,6945,69991,"2014"
2034,1168479087,14026,83309,"2014"
2035,1364892062,20493,66603,"2014"
2036,941724803,15815,59547,"2014"
2037,653289049,8888,73503,"2014"
2038,502271790,5866,85625,"2014"
2039,519347024,5626,92312,"2014"
2040,1021408319,12932,78984,"2014"
2041,1253677791,10684,117342,"2014"
2042,822282592,12430,66154,"2014"
2043,386165560,5020,76926,"2014"
2044,288142711,4934,58400,"2014"
2045,369666491,4047,91344,"2014"
2046,1208278085,16163,74756,"2014"
2047,687891924,7626,90204,"2014"
2048,347541294,4928,70524,"2014"
2049,446537350,6596,67699,"2014"
2050,381844727,5079,75182,"2014"
2052,5020539,159,31576,"2014"
2060,961972675,10188,94423,"2014"
2061,490053466,4219,116154,"2014"
2062,457525321,4752,96281,"2014"
2063,634657862,4174,152051,"2014"
2064,478092399,6073,78725,"2014"
2065,1866923299,20274,92085,"2014"
2066,1743241964,18333,95088,"2014"
2067,1037116142,15747,65862,"2014"
2068,1152818115,10447,110350,"2014"
2069,1077657968,9055,119013,"2014"
2070,891841731,8263,107932,"2014"
2071,890267546,8481,104973,"2014"
2072,433701342,4808,90205,"2014"
2073,1007544368,10357,97282,"2014"
2074,1339715841,14355,93328,"2014"
2075,1153617073,12992,88795,"2014"
2076,1367867486,15010,91131,"2014"
2077,1224123737,21650,56542,"2014"
2079,271758521,4505,60324,"2014"
2080,69070967,1052,65657,"2014"
2081,200925661,3300,60887,"2014"
2082,193293896,3268,59148,"2014"
2083,53158974,927,57346,"2014"
2084,212699552,2423,87784,"2014"
2085,492634600,7137,69026,"2014"
2086,577507325,8158,70791,"2014"
2087,562556326,7502,74988,"2014"
2088,3154186231,19521,161580,"2014"
2089,838795554,8810,95210,"2014"
2090,964472891,9105,105928,"2014"
2092,528693609,4424,119506,"2014"
2093,1324823423,14334,92426,"2014"
2094,375696558,4103,91567,"2014"
2095,1178289446,11894,99066,"2014"
2096,948923059,9843,96406,"2014"
2097,744832948,9709,76716,"2014"
2099,1525058111,25053,60874,"2014"
2100,858690402,13302,64554,"2014"
2101,807102744,12049,66986,"2014"
2102,289194187,4252,68014,"2014"
2103,475846278,7167,66395,"2014"
2104,224448751,2377,94426,"2014"
2105,125670032,1361,92337,"2014"
2106,503695086,6448,78117,"2014"
2107,762234406,9847,77408,"2014"
2108,165114110,1290,127996,"2014"
2110,902307880,6025,149761,"2014"
2111,699777899,8758,79902,"2014"
2112,1072311790,17557,61077,"2014"
2113,703051017,11482,61231,"2014"
2114,784213602,13787,56881,"2014"
2115,278430007,5281,52723,"2014"
2116,172813689,3375,51205,"2014"
2117,591016876,11112,53188,"2014"
2118,739261814,13653,54147,"2014"
2119,600254525,7255,82737,"2014"
2120,824985930,12686,65032,"2014"
2121,1064204445,17001,62597,"2014"
2122,1008517962,18656,54059,"2014"
2125,847794201,10867,78016,"2014"
2126,776007142,11804,65742,"2014"
2127,433536119,6933,62533,"2014"
2128,51729649,1060,48802,"2014"
2130,299145041,4513,66286,"2014"
2131,709867167,13646,52021,"2014"
2132,358851049,6080,59022,"2014"
2133,320184742,5972,53615,"2014"
2134,419011723,8858,47304,"2014"
2135,1017856226,16002,63609,"2014"
2136,245167510,4393,55809,"2014"
2137,1132694449,15888,71293,"2014"
2138,620226389,10493,59109,"2014"
2140,403432466,8201,49194,"2014"
2141,649340345,15000,43290,"2014"
2142,483415149,11345,42611,"2014"
2143,178562355,3998,44663,"2014"
2144,590666117,16284,36273,"2014"
2145,2159228520,41470,52068,"2014"
2146,474490926,9355,50721,"2014"
2147,978294812,19243,50839,"2014"
2148,1490735176,32103,46437,"2014"
2150,829229197,17114,48454,"2014"
2151,642878823,11530,55758,"2014"
2152,347343029,6243,55638,"2014"
2153,2038973570,33711,60484,"2014"
2154,1625936871,24222,67127,"2014"
2155,1831051778,28466,64325,"2014"
2156,647919456,8585,75472,"2014"
2157,138155616,2282,60542,"2014"
2158,448738120,5490,81738,"2014"
2159,213549559,3268,65346,"2014"
2160,729510692,16354,44608,"2014"
2161,532851958,12619,42227,"2014"
2162,344125786,7878,43682,"2014"
2163,136173461,3331,40881,"2014"
2164,445153337,9385,47433,"2014"
2165,669569663,15784,42421,"2014"
2166,879237686,21672,40571,"2014"
2167,239551149,4774,50179,"2014"
2168,798282602,17826,44782,"2014"
2170,2274021190,46735,48658,"2014"
2171,946996735,17796,53215,"2014"
2172,85991290,1311,65593,"2014"
2173,464120491,8165,56843,"2014"
2174,33002156,590,55936,"2014"
2175,59114258,1049,56353,"2014"
2176,1146692014,23873,48034,"2014"
2177,329364649,7308,45070,"2014"
2178,108198666,1959,55232,"2014"
2179,115733149,2309,50123,"2014"
2190,461348663,10503,43926,"2014"
2191,151883584,3041,49946,"2014"
2192,279640228,6416,43585,"2014"
2193,453750930,8250,55001,"2014"
2194,471399345,11985,39333,"2014"
2195,417658360,11278,37034,"2014"
2196,614638532,14329,42895,"2014"
2197,178832243,3960,45160,"2014"
2198,222159492,4437,50070,"2014"
2199,332672874,7513,44280,"2014"
2200,805136586,18564,43371,"2014"
2203,500955051,8085,61962,"2014"
2204,843530851,14543,58003,"2014"
2205,451748609,8768,51523,"2014"
2206,636316429,10684,59558,"2014"
2207,783674273,14941,52452,"2014"
2208,360584392,6920,52108,"2014"
2209,422602478,8719,48470,"2014"
2210,832832853,15623,53309,"2014"
2211,482655966,9331,51727,"2014"
2212,414898150,8126,51059,"2014"
2213,662918066,11780,56275,"2014"
2214,126799470,2370,53502,"2014"
2216,801042917,16355,48979,"2014"
2217,819980029,15543,52756,"2014"
2218,453285051,9334,48563,"2014"
2219,473380660,7547,62725,"2014"
2220,784326930,17326,45269,"2014"
2221,673271323,9883,68125,"2014"
2222,379696727,7291,52078,"2014"
2223,832068566,12972,64144,"2014"
2224,540274028,8493,63615,"2014"
2225,243837082,3378,72184,"2014"
2226,485697671,7540,64417,"2014"
2227,552433912,8753,63114,"2014"
2228,660087871,10904,60537,"2014"
2229,1301429062,17929,72588,"2014"
2230,1565867491,19272,81251,"2014"
2231,80197743,1318,60849,"2014"
2232,1155320945,19588,58982,"2014"
2233,1017170536,17993,56532,"2014"
2234,1255356292,20127,62372,"2014"
2250,1891573185,37112,50970,"2014"
2251,939994171,18123,51868,"2014"
2256,375159478,7685,48818,"2014"
2257,705225531,14680,48040,"2014"
2258,168306544,3031,55529,"2014"
2259,1366400449,28029,48750,"2014"
2260,832877190,14134,58928,"2014"
2261,1353872599,28827,46966,"2014"
2262,406262615,9066,44812,"2014"
2263,456314448,10349,44093,"2014"
2264,325378921,6816,47738,"2014"
2265,133111094,2762,48194,"2014"
2267,81407154,1537,52965,"2014"
2278,73503920,1444,50903,"2014"
2280,844265580,14760,57200,"2014"
2281,365143833,7150,51070,"2014"
2282,513324754,8750,58666,"2014"
2283,686937710,12460,55132,"2014"
2284,274535977,5473,50162,"2014"
2285,818837404,15912,51461,"2014"
2286,94994732,1943,48891,"2014"
2287,967287229,18700,51727,"2014"
2289,621403962,11270,55138,"2014"
2290,1022464115,18601,54969,"2014"
2291,666145902,8869,75110,"2014"
2292,73946836,1371,53937,"2014"
2293,87874845,1591,55233,"2014"
2294,56989508,1097,51951,"2014"
2295,162327140,2943,55158,"2014"
2296,54584253,1057,51641,"2014"
2297,41879591,831,50397,"2014"
2298,221607906,4551,48695,"2014"
2299,280600872,5530,50742,"2014"
2300,614713169,7108,86482,"2014"
2302,18719701,340,55058,"2014"
2303,320377622,5174,61921,"2014"
2304,381752596,7801,48937,"2014"
2305,456857886,7307,62524,"2014"
2306,34447136,900,38275,"2014"
2307,75625579,1735,43589,"2014"
2308,2206023,74,29812,"2014"
2309,5547014,81,68482,"2014"
2311,19054653,484,39370,"2014"
2312,27535099,708,38892,"2014"
2315,385426366,7846,49124,"2014"
2316,156200876,3021,51706,"2014"
2317,158915477,3327,47766,"2014"
2318,338993911,6488,52250,"2014"
2319,136066936,2969,45830,"2014"
2320,1028748794,17155,59968,"2014"
2321,416883537,7261,57415,"2014"
2322,497104969,9420,52772,"2014"
2323,739119086,13664,54093,"2014"
2324,560677061,11638,48177,"2014"
2325,631867885,12254,51565,"2014"
2326,157433439,3240,48591,"2014"
2327,159447411,3372,47286,"2014"
2328,73185130,1367,53538,"2014"
2329,47018444,1041,45167,"2014"
2330,793417438,11467,69192,"2014"
2333,458244369,6976,65689,"2014"
2334,78711475,1357,58005,"2014"
2335,204994629,3255,62979,"2014"
2336,85011275,1446,58791,"2014"
2337,506791581,4549,111408,"2014"
2338,29549752,678,43584,"2014"
2339,13855931,399,34727,"2014"
2340,1232797855,26616,46318,"2014"
2341,26367721,623,42324,"2014"
2342,10262530,285,36009,"2014"
2343,105645563,2645,39942,"2014"
2344,17184894,422,40723,"2014"
2345,18129284,452,40110,"2014"
2346,54059933,1409,38368,"2014"
2347,26330971,843,31235,"2014"
2350,638070892,13591,46949,"2014"
2351,3850553,85,45301,"2014"
2352,63019611,1404,44886,"2014"
2353,22606233,540,41864,"2014"
2354,70212637,2143,32764,"2014"
2355,9846924,290,33955,"2014"
2356,1844333,68,27123,"2014"
2357,76344343,1984,38481,"2014"
2358,78196954,2070,37777,"2014"
2359,9749587,360,27083,"2014"
2360,284681322,7146,39838,"2014"
2361,9632329,377,25550,"2014"
2365,74193509,2000,37097,"2014"
2369,11932792,327,36492,"2014"
2370,129308831,3745,34529,"2014"
2371,15734040,534,29465,"2014"
2372,84987594,2477,34311,"2014"
2379,7655648,210,36456,"2014"
2380,274850700,5480,50156,"2014"
2381,27854624,608,45814,"2014"
2382,31509813,713,44194,"2014"
2386,1845693,219,8428,"2014"
2387,2114536,147,14385,"2014"
2388,64689565,1496,43242,"2014"
2390,243166121,4881,49819,"2014"
2395,7502594,270,27788,"2014"
2396,14791187,414,35728,"2014"
2397,11418076,259,44086,"2014"
2398,6321114,144,43897,"2014"
2399,12775374,322,39676,"2014"
2400,281202523,5626,49983,"2014"
2401,4569771,168,27202,"2014"
2402,31710050,878,36117,"2014"
2403,8674921,356,24368,"2014"
2404,21463402,872,24614,"2014"
2405,12062193,311,38786,"2014"
2406,21279067,477,44611,"2014"
2408,8280131,232,35691,"2014"
2409,16971056,304,55826,"2014"
2410,3733411,110,33941,"2014"
2411,1866956,63,29635,"2014"
2415,6691939,179,37386,"2014"
2420,87280208,2047,42639,"2014"
2421,55373300,1066,51945,"2014"
2422,101970032,2734,37298,"2014"
2423,55393557,1437,38549,"2014"
2424,5527722,203,27231,"2014"
2425,43377421,930,46643,"2014"
2426,11659795,294,39660,"2014"
2427,47848042,1165,41072,"2014"
2428,442579507,10846,40806,"2014"
2429,173185485,4691,36919,"2014"
2430,635747119,15291,41577,"2014"
2431,91073984,2297,39650,"2014"
2439,46098535,1160,39741,"2014"
2440,364339912,9439,38600,"2014"
2441,99619509,2507,39737,"2014"
2443,150939455,4023,37520,"2014"
2444,1089775564,23776,45836,"2014"
2445,144890800,3362,43097,"2014"
2446,268984806,6498,41396,"2014"
2447,135691344,3435,39503,"2014"
2448,150793187,3795,39735,"2014"
2449,32593526,945,34491,"2014"
2450,1027187386,22688,45275,"2014"
2452,324276537,7657,42351,"2014"
2453,46929264,1512,31038,"2014"
2454,164324317,3961,41486,"2014"
2455,62014344,1509,41097,"2014"
2456,321396459,7959,40382,"2014"
2460,544490376,13561,40152,"2014"
2462,37194566,1050,35424,"2014"
2463,135589209,3518,38542,"2014"
2464,132997182,3435,38719,"2014"
2465,7196835,191,37680,"2014"
2466,21808779,655,33296,"2014"
2469,51583042,1601,32220,"2014"
2470,271363138,6959,38995,"2014"
2471,36560625,1100,33237,"2014"
2472,39413431,1029,38303,"2014"
2473,56350766,1330,42369,"2014"
2474,110853868,3099,35771,"2014"
2475,5116898,172,29750,"2014"
2476,11338342,338,33546,"2014"
2477,285595496,6654,42921,"2014"
2478,723729895,15792,45829,"2014"
2479,154942754,3012,51442,"2014"
2480,996558426,23442,42512,"2014"
2481,364040763,8014,45426,"2014"
2482,142119872,3611,39358,"2014"
2483,239969937,5847,41042,"2014"
2484,385537198,9404,40998,"2014"
2485,293528788,6833,42958,"2014"
2486,687458904,15773,43585,"2014"
2487,347684301,6593,52736,"2014"
2488,80794535,1829,44175,"2014"
2489,164559906,3503,46977,"2014"
2490,18652116,387,48197,"2014"
2500,1085109295,20169,53801,"2014"
2502,207472005,4741,43762,"2014"
2505,113108020,2299,49199,"2014"
2506,158482660,3318,47765,"2014"
2508,318940658,5323,59918,"2014"
2515,483956917,6731,71900,"2014"
2516,217300281,3381,64272,"2014"
2517,411492871,7182,57296,"2014"
2518,506123259,9739,51969,"2014"
2519,487206147,8943,54480,"2014"
2525,345902363,6204,55755,"2014"
2526,483219797,8715,55447,"2014"
2527,573750921,11262,50946,"2014"
2528,502794975,10781,46638,"2014"
2529,712422691,13292,53598,"2014"
2530,791944077,15911,49774,"2014"
2533,522840770,9336,56003,"2014"
2534,169145269,3179,53208,"2014"
2535,195305469,4065,48046,"2014"
2536,361014022,8747,41273,"2014"
2537,258292810,6169,41870,"2014"
2538,56804381,1244,45663,"2014"
2539,342504448,8783,38997,"2014"
2540,908781870,20416,44514,"2014"
2541,551865347,12349,44690,"2014"
2545,23253617,589,39480,"2014"
2546,176438025,4652,37928,"2014"
2548,183177919,4332,42285,"2014"
2549,91439328,2123,43071,"2014"
2550,384263666,8722,44057,"2014"
2551,78385470,1828,42881,"2014"
2555,10023570,221,45356,"2014"
2556,75054176,1334,56263,"2014"
2557,167849663,3089,54338,"2014"
2558,298552470,6169,48396,"2014"
2559,32292019,833,38766,"2014"
2560,1851895909,37895,48870,"2014"
2563,8765479,165,53125,"2014"
2564,281630891,6348,44366,"2014"
2565,521829534,9995,52210,"2014"
2566,650264144,13554,47976,"2014"
2567,1178331742,20630,57118,"2014"
2568,37410347,661,56597,"2014"
2569,46824948,838,55878,"2014"
2570,1159703739,19981,58041,"2014"
2571,372335147,6308,59026,"2014"
2572,122355586,2287,53501,"2014"
2573,122859186,2505,49046,"2014"
2574,155658608,3102,50181,"2014"
2575,442731433,8199,53999,"2014"
2576,501407827,8181,61290,"2014"
2577,426750583,8327,51250,"2014"
2578,68214114,1522,44819,"2014"
2579,99354826,2076,47859,"2014"
2580,716814707,14975,47868,"2014"
2581,58547020,1194,49035,"2014"
2582,413335039,7241,57083,"2014"
2583,96425589,2477,38929,"2014"
2584,11625829,298,39013,"2014"
2585,6522176,162,40261,"2014"
2586,53686883,1348,39828,"2014"
2587,61081967,1476,41384,"2014"
2588,12051662,220,54781,"2014"
2590,164440079,3675,44746,"2014"
2594,256415779,5904,43431,"2014"
2600,538442817,5712,94266,"2014"
2601,185714157,2777,66876,"2014"
2602,1304985641,19072,68425,"2014"
2603,721291725,6210,116151,"2014"
2604,590075489,7205,81899,"2014"
2605,583333198,7433,78479,"2014"
2606,403453334,5902,68359,"2014"
2607,646705959,9244,69960,"2014"
2609,39422085,597,66034,"2014"
2611,1041902505,15452,67429,"2014"
2612,670432725,9514,70469,"2014"
2614,816119634,12156,67138,"2014"
2615,1587811454,27050,58700,"2014"
2617,1185023160,19597,60470,"2014"
2618,64034026,856,74807,"2014"
2619,450042133,5864,76747,"2014"
2620,1360246108,22405,60712,"2014"
2621,246285412,3770,65328,"2014"
2622,90735862,2059,44068,"2014"
2623,18075122,342,52852,"2014"
2624,2114508,69,30646,"2014"
2625,7682540,209,36759,"2014"
2626,14573089,276,52802,"2014"
2627,125181932,2650,47239,"2014"
2628,40403274,992,40730,"2014"
2629,11485061,285,40299,"2014"
2630,235598064,4971,47395,"2014"
2631,15648666,344,45491,"2014"
2632,50164511,1097,45729,"2014"
2633,8745432,219,39934,"2014"
2640,1042778695,20109,51857,"2014"
2641,351952771,8117,43360,"2014"
2642,131095154,2862,45806,"2014"
2643,59627305,1469,40591,"2014"
2644,58482328,1382,42318,"2014"
2645,10647489,240,44365,"2014"
2646,174950734,3959,44191,"2014"
2647,50030390,1156,43279,"2014"
2648,46673719,1194,39091,"2014"
2650,1632708820,31881,51213,"2014"
2651,48896743,1035,47244,"2014"
2652,129114739,2734,47226,"2014"
2653,54391915,1262,43100,"2014"
2655,34170656,769,44436,"2014"
2656,33360510,699,47727,"2014"
2658,28317286,741,38215,"2014"
2659,21168273,538,39347,"2014"
2660,35272253,834,42293,"2014"
2661,6341005,111,57127,"2014"
2663,97720425,2171,45012,"2014"
2665,49564696,1246,39780,"2014"
2666,126003120,2950,42713,"2014"
2668,9179912,215,42698,"2014"
2669,46555726,980,47506,"2014"
2671,105775130,2254,46928,"2014"
2672,39509126,816,48419,"2014"
2675,44773277,967,46302,"2014"
2680,612480112,13552,45195,"2014"
2681,43308601,938,46172,"2014"
2700,108014309,2565,42111,"2014"
2701,58794181,1246,47187,"2014"
2702,18015879,375,48043,"2014"
2703,16044216,404,39714,"2014"
2705,239089831,5506,43424,"2014"
2706,24725795,619,39945,"2014"
2707,35741981,908,39364,"2014"
2710,241722236,5768,41908,"2014"
