"postcode","total_tax","num_individuals","mean_tax","year"
200,3918209,155,25279,"2012"
800,226508881,4465,50730,"2012"
801,111407317,1770,62942,"2012"
804,28344396,370,76607,"2012"
810,1076028632,18915,56888,"2012"
811,56270005,895,62872,"2012"
812,641638213,11370,56433,"2012"
813,13127543,205,64037,"2012"
814,26944680,440,61238,"2012"
815,5866340,95,61751,"2012"
820,805006757,11970,67253,"2012"
821,69701789,1105,63079,"2012"
822,185251617,4850,38197,"2012"
828,38460230,615,62537,"2012"
830,626737137,11025,56847,"2012"
831,113610796,1870,60755,"2012"
832,344413340,5730,60108,"2012"
834,18980882,345,55018,"2012"
835,209089530,3400,61497,"2012"
836,248658935,4210,59064,"2012"
837,41391581,760,54463,"2012"
838,15428450,265,58221,"2012"
840,6350821,85,74716,"2012"
841,12769977,255,50079,"2012"
845,16065692,360,44627,"2012"
846,9593309,145,66161,"2012"
847,9150906,135,67785,"2012"
850,165660537,3160,52425,"2012"
851,87489975,1655,52865,"2012"
852,59921123,1730,34637,"2012"
853,25020840,405,61780,"2012"
854,17274543,425,40646,"2012"
860,46185851,880,52484,"2012"
861,30761920,660,46609,"2012"
862,9217563,240,38407,"2012"
870,716329492,13505,53042,"2012"
871,134552581,2495,53929,"2012"
872,125113919,3530,35444,"2012"
880,57663544,865,66664,"2012"
881,143248740,2335,61349,"2012"
885,52629563,680,77397,"2012"
886,50739978,835,60767,"2012"
1215,10252284,160,64077,"2012"
1220,175091361,1815,96470,"2012"
1225,17327101,345,50224,"2012"
1230,25976485,520,49955,"2012"
1235,30377357,1400,21699,"2012"
1240,16845822,580,29045,"2012"
1300,6738788,95,70935,"2012"
1335,12092528,110,109933,"2012"
1355,24447237,585,41791,"2012"
1360,10566949,100,105670,"2012"
1460,6752435,75,90033,"2012"
1465,3838626,70,54838,"2012"
1470,6529755,70,93283,"2012"
1475,4865662,70,69510,"2012"
1481,8128419,305,26651,"2012"
1485,5446365,100,54464,"2012"
1490,4701733,80,58772,"2012"
1495,6391560,105,60872,"2012"
1499,6148772,110,55898,"2012"
1515,8148553,255,31956,"2012"
1560,3536591,60,58944,"2012"
1565,9123040,160,57019,"2012"
1570,7212993,60,120217,"2012"
1585,17523064,255,68718,"2012"
1590,7408784,155,47799,"2012"
1595,13259719,170,77999,"2012"
1630,3543421,60,59058,"2012"
1635,4803509,145,33128,"2012"
1655,41571936,2370,17541,"2012"
1660,8332237,185,45040,"2012"
1685,4352270,50,87046,"2012"
1710,7238920,215,33670,"2012"
1715,4403350,70,62905,"2012"
1750,11108245,310,35834,"2012"
1755,7391559,175,42238,"2012"
1765,12146764,235,51689,"2012"
1790,3919558,55,71265,"2012"
1800,4803875,85,56517,"2012"
1805,3589257,65,55220,"2012"
1835,2482393,50,49648,"2012"
1860,4050696,55,73650,"2012"
1871,3911700,80,48897,"2012"
1885,4430896,105,42200,"2012"
1890,5226310,75,69685,"2012"
2000,1417380862,34140,41517,"2012"
2001,210106138,3280,64057,"2012"
2002,18568512,725,25612,"2012"
2006,6537342,95,68815,"2012"
2007,210131393,4615,45533,"2012"
2008,222393702,4510,49312,"2012"
2009,699703545,9285,75359,"2012"
2010,1304523504,18925,68932,"2012"
2011,1086574119,14505,74911,"2012"
2012,24033832,435,55251,"2012"
2015,427802494,6455,66275,"2012"
2016,464832716,7590,61243,"2012"
2017,473249726,8435,56106,"2012"
2018,391704511,8010,48902,"2012"
2019,298903626,5455,54795,"2012"
2020,361543701,7085,51030,"2012"
2021,1051884283,10230,102824,"2012"
2022,613511418,8560,71672,"2012"
2023,898108206,6860,130920,"2012"
2024,689762845,7090,97287,"2012"
2025,641916241,5105,125743,"2012"
2026,1698143476,22690,74842,"2012"
2027,1040165001,5910,176001,"2012"
2028,353542911,3355,105378,"2012"
2029,658056883,6945,94753,"2012"
2030,1247681689,9500,131335,"2012"
2031,1680982197,22145,75908,"2012"
2032,445329970,8645,51514,"2012"
2033,423931173,6710,63180,"2012"
2034,1004600663,13515,74333,"2012"
2035,1217891394,20180,60352,"2012"
2036,817626819,15130,54041,"2012"
2037,599350357,8715,68773,"2012"
2038,447845168,5765,77684,"2012"
2039,466018118,5495,84808,"2012"
2040,921807420,12695,72612,"2012"
2041,1059348433,10155,104318,"2012"
2042,740386195,12245,60465,"2012"
2043,338221547,4755,71130,"2012"
2044,273206109,4810,56800,"2012"
2045,302929658,4060,74614,"2012"
2046,1090412071,15920,68494,"2012"
2047,589684032,7355,80175,"2012"
2048,321743425,4895,65729,"2012"
2049,405803168,6420,63210,"2012"
2050,317593617,4575,69420,"2012"
2057,28307917,715,39592,"2012"
2059,44293073,725,61094,"2012"
2060,932328169,9655,96565,"2012"
2061,417341894,4130,101052,"2012"
2062,414253302,4665,88801,"2012"
2063,517216532,4095,126305,"2012"
2064,439483375,6030,72883,"2012"
2065,1620337489,19320,83869,"2012"
2066,1569212007,17640,88958,"2012"
2067,927868884,15345,60468,"2012"
2068,1037712696,10135,102390,"2012"
2069,923013405,8925,103419,"2012"
2070,797267944,8210,97110,"2012"
2071,819375990,8265,99139,"2012"
2072,377400122,4625,81601,"2012"
2073,940549291,10265,91627,"2012"
2074,1153338415,13930,82796,"2012"
2075,1045242939,12740,82045,"2012"
2076,1200456452,15015,79951,"2012"
2077,1142905860,21460,53258,"2012"
2079,255344610,4485,56934,"2012"
2080,58683695,1060,55362,"2012"
2081,188038900,3280,57329,"2012"
2082,180824531,3300,54796,"2012"
2083,49172932,950,51761,"2012"
2084,193556210,2310,83791,"2012"
2085,458071772,7195,63666,"2012"
2086,509208805,7990,63731,"2012"
2087,495538226,7460,66427,"2012"
2088,2554669010,19105,133718,"2012"
2089,785687300,8925,88033,"2012"
2090,883908919,8920,99093,"2012"
2092,424062429,4225,100370,"2012"
2093,1162035138,13975,83151,"2012"
2094,343170340,4025,85260,"2012"
2095,937900257,11330,82781,"2012"
2096,721449176,9615,75034,"2012"
2097,636066908,9480,67096,"2012"
2099,1364611373,24160,56483,"2012"
2100,754340386,12940,58296,"2012"
2101,690485589,11625,59397,"2012"
2102,241660136,3870,62445,"2012"
2103,433218397,6950,62334,"2012"
2104,185062583,2325,79597,"2012"
2105,110172844,1345,81913,"2012"
2106,449911638,6315,71245,"2012"
2107,699073994,9685,72182,"2012"
2108,138516350,1280,108216,"2012"
2110,737993375,5840,126369,"2012"
2111,636682290,8645,73648,"2012"
2112,929312236,16490,56357,"2012"
2113,626905296,10950,57252,"2012"
2114,710874098,13400,53051,"2012"
2115,240212766,4950,48528,"2012"
2116,151731322,3155,48093,"2012"
2117,543381958,11115,48888,"2012"
2118,668051485,13380,49930,"2012"
2119,546397963,7285,75004,"2012"
2120,758008379,12590,60208,"2012"
2121,958551784,16510,58059,"2012"
2122,939653134,18510,50765,"2012"
2124,38495201,735,52375,"2012"
2125,754505401,10820,69733,"2012"
2126,723967719,11945,60609,"2012"
2127,332939336,5530,60207,"2012"
2128,47739042,955,49989,"2012"
2130,272483109,4510,60418,"2012"
2131,671117564,13840,48492,"2012"
2132,326012545,6055,53842,"2012"
2133,302916381,5955,50868,"2012"
2134,387529118,8625,44931,"2012"
2135,871267284,15455,56375,"2012"
2136,222046769,4415,50294,"2012"
2137,1027060120,15115,67950,"2012"
2138,486492929,8745,55631,"2012"
2140,363048555,7750,46845,"2012"
2141,591993897,14385,41154,"2012"
2142,439498794,10880,40396,"2012"
2143,159397322,3845,41456,"2012"
2144,562869545,15950,35290,"2012"
2145,1952024975,40295,48444,"2012"
2146,445782425,9350,47678,"2012"
2147,920363928,19245,47824,"2012"
2148,1412959156,31885,44315,"2012"
2150,721985061,16420,43970,"2012"
2151,589039788,11390,51716,"2012"
2152,310382000,5920,52430,"2012"
2153,1855996828,33310,55719,"2012"
2154,1497700069,23910,62640,"2012"
2155,1558083088,26165,59549,"2012"
2156,566124520,8265,68497,"2012"
2157,122046509,2225,54853,"2012"
2158,421370292,5445,77387,"2012"
2159,204153046,3205,63699,"2012"
2160,685148108,16280,42086,"2012"
2161,500448331,12340,40555,"2012"
2162,330378493,7845,42114,"2012"
2163,128313497,3375,38019,"2012"
2164,420681013,9505,44259,"2012"
2165,635769407,16040,39637,"2012"
2166,841628742,21845,38528,"2012"
2167,211752885,4410,48017,"2012"
2168,754730778,18005,41918,"2012"
2170,2109626096,45940,45922,"2012"
2171,814299026,16435,49547,"2012"
2172,68659837,1155,59446,"2012"
2173,435463977,8145,53464,"2012"
2174,16085084,325,49493,"2012"
2175,48993547,980,49994,"2012"
2176,1081352605,24115,44842,"2012"
2177,308547564,7215,42765,"2012"
2178,89673853,1775,50521,"2012"
2179,101674450,2235,45492,"2012"
2190,419400473,10370,40444,"2012"
2191,139907888,3045,45947,"2012"
2192,265499659,6485,40941,"2012"
2193,412916020,8010,51551,"2012"
2194,434286091,11760,36930,"2012"
2195,398740891,11165,35714,"2012"
2196,563801179,14215,39663,"2012"
2197,166492692,3805,43757,"2012"
2198,207462871,4540,45697,"2012"
2199,307230511,7390,41574,"2012"
2200,757267224,18560,40802,"2012"
2203,459563891,7990,57518,"2012"
2204,746490738,14085,52999,"2012"
2205,383309724,7955,48185,"2012"
2206,560157579,10490,53400,"2012"
2207,729657914,14910,48938,"2012"
2208,326272553,6800,47982,"2012"
2209,390355615,8585,45470,"2012"
2210,764598234,15560,49139,"2012"
2211,445807336,9280,48040,"2012"
2212,372577361,7905,47132,"2012"
2213,607703476,11625,52276,"2012"
2214,125221339,2465,50800,"2012"
2216,733651142,16245,45162,"2012"
2217,756996571,15360,49284,"2012"
2218,426563273,9235,46190,"2012"
2219,455228405,7400,61518,"2012"
2220,738472562,17295,42699,"2012"
2221,620545544,9910,62619,"2012"
2222,353856919,7270,48674,"2012"
2223,768786932,12880,59689,"2012"
2224,526976175,8585,61384,"2012"
2225,219298475,3400,64500,"2012"
2226,446558894,7525,59344,"2012"
2227,509304049,8730,58340,"2012"
2228,607314535,10855,55948,"2012"
2229,1101660830,17695,62259,"2012"
2230,1270657533,18475,68778,"2012"
2231,72638888,1325,54822,"2012"
2232,1056106459,19460,54271,"2012"
2233,953911420,18180,52471,"2012"
2234,1186869016,20355,58309,"2012"
2250,1781676157,37555,47442,"2012"
2251,863425795,17965,48062,"2012"
2256,347334954,7630,45523,"2012"
2257,642117896,14605,43966,"2012"
2258,152819392,3040,50270,"2012"
2259,1245074079,27785,44812,"2012"
2260,739337249,13850,53382,"2012"
2261,1223029846,28365,43118,"2012"
2262,387331553,9250,41874,"2012"
2263,427848090,10465,40884,"2012"
2264,308056382,6910,44582,"2012"
2265,120757779,2705,44643,"2012"
2267,79696759,1550,51418,"2012"
2278,72931186,1520,47982,"2012"
2280,796722277,15070,52869,"2012"
2281,341374329,7170,47612,"2012"
2282,495661900,8990,55135,"2012"
2283,647971983,12680,51102,"2012"
2284,266382049,5555,47954,"2012"
2285,769467198,15695,49027,"2012"
2286,93554670,1945,48101,"2012"
2287,904623341,18550,48767,"2012"
2289,584764466,11415,51228,"2012"
2290,978129361,18855,51877,"2012"
2291,616261462,8970,68703,"2012"
2292,71012782,1405,50543,"2012"
2293,82196892,1560,52691,"2012"
2294,53978844,1100,49072,"2012"
2295,147386104,2810,52451,"2012"
2296,49656657,1040,47747,"2012"
2297,39048623,845,46212,"2012"
2298,210149449,4585,45835,"2012"
2299,269765824,5660,47662,"2012"
2300,467673732,7085,66009,"2012"
2302,15710864,255,61612,"2012"
2303,310326404,5325,58278,"2012"
2304,372483983,7940,46913,"2012"
2305,437478393,7300,59929,"2012"
2306,35093601,940,37334,"2012"
2307,75346072,1835,41061,"2012"
2309,4384266,60,73072,"2012"
2310,3919720,50,78395,"2012"
2311,20853763,500,41708,"2012"
2312,24077857,670,35938,"2012"
2315,353861158,7750,45660,"2012"
2316,139324133,3025,46058,"2012"
2317,148524853,3370,44073,"2012"
2318,322062618,6460,49855,"2012"
2319,129817160,3010,43129,"2012"
2320,955214521,16625,57457,"2012"
2321,383538153,6730,56990,"2012"
2322,482898802,9605,50276,"2012"
2323,713116481,13940,51157,"2012"
2324,542786415,11965,45365,"2012"
2325,631805794,12595,50164,"2012"
2326,160394131,3400,47175,"2012"
2327,163371851,3505,46612,"2012"
2328,81556380,1410,57842,"2012"
2329,47622993,1085,43893,"2012"
2330,798992778,11985,66667,"2012"
2333,460361462,7465,61670,"2012"
2334,75355979,1380,54606,"2012"
2335,200987159,3270,61464,"2012"
2336,82838844,1470,56353,"2012"
2337,261468068,4660,56110,"2012"
2338,26718620,670,39879,"2012"
2339,15324365,415,36927,"2012"
2340,1162581287,26415,44013,"2012"
2341,26311395,660,39866,"2012"
2342,9374972,265,35378,"2012"
2343,110789862,2680,41340,"2012"
2344,16542284,420,39387,"2012"
2345,19816155,435,45555,"2012"
2346,53049084,1445,36713,"2012"
2347,28339044,865,32762,"2012"
2350,589291055,13555,43475,"2012"
2352,55978435,1405,39843,"2012"
2353,21966956,540,40680,"2012"
2354,80561503,2180,36955,"2012"
2355,10713294,310,34560,"2012"
2357,79300191,2060,38496,"2012"
2358,77535357,2100,36922,"2012"
2359,10741899,375,28646,"2012"
2360,270870083,7160,37832,"2012"
2361,11486281,395,29080,"2012"
2365,70369158,2025,34751,"2012"
2369,10284931,320,32141,"2012"
2370,136687625,3815,35829,"2012"
2371,16635390,525,31687,"2012"
2372,85998911,2540,33858,"2012"
2379,6823198,205,33284,"2012"
2380,270692446,5520,49039,"2012"
2381,36115382,635,56875,"2012"
2382,32061525,705,45478,"2012"
2386,8530649,210,40623,"2012"
2387,6664110,195,34175,"2012"
2388,69909734,1580,44247,"2012"
2390,230378961,4925,46778,"2012"
2395,8646289,275,31442,"2012"
2396,15174490,440,34488,"2012"
2397,13172193,275,47899,"2012"
2398,6134720,150,40899,"2012"
2399,13904463,325,42783,"2012"
2400,283181807,5700,49682,"2012"
2401,5898913,190,31047,"2012"
2402,34872955,935,37298,"2012"
2403,9759573,365,26739,"2012"
2404,27314271,850,32135,"2012"
2405,12148699,320,37965,"2012"
2406,22267017,480,46390,"2012"
2408,10241624,240,42674,"2012"
2409,15506806,325,47714,"2012"
2410,4671971,80,58400,"2012"
2415,6662956,120,55525,"2012"
2420,87663373,2080,42146,"2012"
2421,48766864,970,50276,"2012"
2422,106413142,2825,37669,"2012"
2423,56481421,1500,37655,"2012"
2424,6847681,210,32609,"2012"
2425,44096323,940,46911,"2012"
2426,10429986,285,36597,"2012"
2427,39551034,1050,37668,"2012"
2428,417774669,11210,37269,"2012"
2429,168396743,4765,35341,"2012"
2430,614132039,15705,39105,"2012"
2431,85485072,2355,36300,"2012"
2439,40973291,1095,37419,"2012"
2440,353193510,9605,36772,"2012"
2441,103526910,2780,37240,"2012"
2443,138711806,4135,33546,"2012"
2444,994019594,23635,42058,"2012"
2445,132528388,3295,40222,"2012"
2446,250320204,6465,38720,"2012"
2447,124176021,3400,36523,"2012"
2448,135555684,3810,35579,"2012"
2449,29116889,930,31309,"2012"
2450,930731603,22110,42096,"2012"
2452,293354935,7665,38273,"2012"
2453,46830122,1505,31117,"2012"
2454,147867861,3920,37722,"2012"
2455,57816699,1515,38163,"2012"
2456,288495160,7630,37811,"2012"
2460,534567173,14155,37766,"2012"
2462,37060770,1105,33540,"2012"
2463,126801925,3535,35871,"2012"
2464,122557242,3495,35067,"2012"
2465,7411512,200,37058,"2012"
2466,19658841,655,30014,"2012"
2469,50669749,1660,30524,"2012"
2470,252847557,6910,36592,"2012"
2471,35770556,1135,31516,"2012"
2472,38299282,1035,37005,"2012"
2473,50345292,1305,38579,"2012"
2474,108536740,3175,34185,"2012"
2475,5482122,180,30457,"2012"
2476,12597588,385,32722,"2012"
2477,254325478,6575,38681,"2012"
2478,639824242,15385,41588,"2012"
2479,128475029,2845,45159,"2012"
2480,934668622,23795,39281,"2012"
2481,305889038,7570,40409,"2012"
2482,125650149,3545,35445,"2012"
2483,200497418,5530,36257,"2012"
